price_per_night,room_type,person_capacity,bedrooms,city,day_type,price_per_person,host_is_superhost,host_type,guest_satisfaction_overall,cleanliness_rating,distance_to_center_km,distance_to_metro_km,attraction_index_normalized,restaurant_index_normalized,longitude,latitude,location_category,is_price_outlier,scraped_property_type,Reviews,Ratings
96.62288931,Entire home/apt,4,1,lisbon,weekend,24.15572233,FALSE,Professional,93,10,1.014249948,0.492605526,9.953158231,33.12705529,-9.1285,38.71511,near_center,FALSE,"Entire rental unit in Lisbon, Portugal",137,4.88
52.18105066,Private room,2,1,lisbon,weekday,26.09052533,FALSE,Professional,87,9,2.780361724,0.398612824,3.257779767,11.07718571,-9.12936,38.7361,near_center,FALSE,"Private room in serviced apartment in Lisbon, Portugal",1,
96.97467167,Entire home/apt,2,1,lisbon,weekday,48.48733583,FALSE,semi_professional,100,10,1.2584059,0.456221785,5.977529453,27.68399153,-9.14614,38.7225,near_center,FALSE,"Room in Lisbon, Portugal",3,5
114.3292683,Private room,2,1,lisbon,weekday,57.16463415,FALSE,individual,94,10,2.21901461,1.465251269,3.818137544,13.55512105,-9.16474,38.70879,near_center,FALSE,"Private room in rental unit in Lisbon, Portugal",1,
125.9380863,Entire home/apt,3,1,lisbon,weekday,41.9793621,FALSE,individual,93,9,5.13218086,4.233091803,3.917025192,6.904437851,-9.19584,38.69826,outskirts,FALSE,"Entire rental unit in Lisbon, Portugal",76,4.72
99.67166979,Entire home/apt,2,1,lisbon,weekend,49.8358349,FALSE,Professional,86,9,0.489398098,0.368078614,10.8125346,58.12155763,-9.14408,38.70967,city_center,FALSE,"Entire serviced apartment in Lisbon, Portugal",97,4.51
194.0309038,Private room,2,1,london,weekend,97.01545192,FALSE,Professional,53,6,2.309387043,0.178348069,31.12864252,18.09763914,-0.12269,51.52886,near_center,FALSE,"Room in hotel in London, United Kingdom",378,4.68
74.43731038,Private room,2,1,london,weekend,37.21865519,FALSE,Professional,85,9,6.319323487,1.008088132,14.38211701,7.601291883,-0.03712,51.51497,outskirts,FALSE,"Private room in home in Limehouse, United Kingdom",78,4.87
131.3530422,Private room,2,1,london,weekend,65.67652108,FALSE,Professional,95,10,0.50734276,0.207888296,63.04771005,48.78797624,-0.13048,51.51249,city_center,FALSE,"Room in London, United Kingdom",244,4.87
126.5316682,Entire home/apt,2,0,london,weekday,63.2658341,FALSE,semi_professional,50,5,8.171719066,0.713019383,11.70453428,6.215585833,-0.01068,51.49954,outskirts,FALSE,"Room in London, United Kingdom",31,5
238.48162,Entire home/apt,4,1,london,weekend,59.620405,FALSE,Professional,98,10,3.163580473,0.534544048,28.23535408,13.94945652,-0.16408,51.49137,suburban,FALSE,"Entire rental unit in Greater London, United Kingdom",46,5
413.9325948,Entire home/apt,4,2,london,weekend,103.4831487,FALSE,individual,93,10,5.46165893,0.377614081,16.49142986,9.654622965,-0.20609,51.51058,outskirts,FALSE,"Entire condo in London, United Kingdom",89,4.97
239.3047814,Private room,2,1,london,weekday,119.6523907,FALSE,Professional,89,8,4.234189314,0.375865533,25.84444744,12.91532932,-0.06719,51.51392,suburban,FALSE,"Room in Greater London, United Kingdom",47,4.43
187.798396,Entire home/apt,2,0,london,weekday,93.89919801,FALSE,Professional,77,9,4.983151961,0.252412119,18.30273549,11.17731591,-0.19917,51.51082,suburban,FALSE,"Room in Greater London, United Kingdom",0,5
95.60431807,Private room,2,1,london,weekend,47.80215903,FALSE,individual,97,10,6.266297053,0.775016633,14.61758896,7.411124715,-0.03888,51.49775,outskirts,FALSE,"Private room in loft in Greater London, United Kingdom",31,4.84
203.6736518,Entire home/apt,3,0,london,weekend,67.89121726,FALSE,Professional,88,9,4.508060618,0.393822891,21.99293404,12.33985007,-0.18867,51.49474,suburban,FALSE,"Entire serviced apartment in Greater London, United Kingdom",3,5
258.7078718,Entire home/apt,6,2,london,weekend,43.11797863,TRUE,individual,96,10,6.022760065,0.218091628,15.08218841,8.332418781,-0.21266,51.51868,outskirts,FALSE,"Entire rental unit in Greater London, United Kingdom",6,5
155.2247231,Entire home/apt,2,0,london,weekend,77.61236153,TRUE,semi_professional,99,10,5.278476659,0.37064351,15.85270661,8.366457393,-0.1068,51.55397,outskirts,FALSE,"Entire rental unit in Greater London, United Kingdom",326,4.92
97.01545192,Private room,2,1,london,weekend,48.50772596,FALSE,individual,100,9,5.778314654,0.547276661,14.93076045,8.334441107,-0.2065,51.5247,outskirts,FALSE,"Private room in rental unit in Greater London, United Kingdom",2,5
232.6018956,Entire home/apt,4,1,london,weekday,58.15047391,FALSE,Professional,83,8,1.688385002,0.528874751,37.24752127,20.13095244,-0.11588,51.52165,near_center,FALSE,"Entire rental unit in Greater London, United Kingdom",30,4.9
201.79214,Private room,2,1,london,weekend,100.89607,TRUE,semi_professional,99,10,4.007950721,0.098621014,27.3933741,14.73788085,-0.0708,51.51505,suburban,FALSE,"Room in Greater London, United Kingdom",68,4.74
416.2844846,Entire home/apt,4,2,london,weekday,104.0711211,FALSE,semi_professional,83,8,2.446780633,0.127191881,36.61481103,18.90366628,-0.1564,51.52092,near_center,FALSE,"Entire rental unit in Greater London, United Kingdom",15,4.8
250.0058797,Entire home/apt,4,1,london,weekend,62.50146993,TRUE,Professional,88,9,4.241354733,0.306046705,20.22503274,12.74068606,-0.18719,51.51647,suburban,FALSE,"Entire rental unit in Greater London, United Kingdom",26,4.42
132.0586091,Private room,2,1,london,weekday,66.02930455,FALSE,semi_professional,100,10,2.635834108,0.279998188,28.42099031,12.34422657,-0.10016,51.4919,near_center,FALSE,"Room in Greater London, United Kingdom",12,5
85.72638115,Private room,2,0,london,weekday,42.86319057,FALSE,Professional,90,9,2.283789477,0.203968586,31.27602485,18.09850305,-0.12261,51.52862,near_center,FALSE,"Room in Greater London, United Kingdom",33,4.79
82.43373551,Private room,2,1,london,weekend,41.21686775,FALSE,individual,97,10,5.522551658,1.067407596,13.82218982,7.631075389,-0.1536,51.46144,outskirts,FALSE,"Room in Greater London, United Kingdom",15,5
128.41318,Entire home/apt,2,1,london,weekend,64.20659,FALSE,Professional,85,9,3.076903286,0.349499596,23.50742322,14.81592076,-0.11016,51.53377,suburban,FALSE,"Entire rental unit in Greater London, United Kingdom",93,4.7
101.131259,Private room,3,1,london,weekend,33.71041966,FALSE,Professional,95,9,3.613686529,0.909245005,20.68119716,11.83696538,-0.11746,51.54019,suburban,FALSE,Private room in condo in United Kingdom,261,4.92
86.43194807,Private room,2,1,london,weekend,43.21597404,FALSE,semi_professional,91,9,4.705816948,1.988150366,17.30530519,9.154086186,-0.16786,51.47435,suburban,FALSE,"Private room in rental unit in Greater London, United Kingdom",21,4.05
235.0713799,Entire home/apt,4,1,london,weekday,58.76784496,FALSE,Professional,86,9,1.611929363,0.480008201,38.88232616,20.86813583,-0.11755,51.52141,near_center,FALSE,"Entire rental unit in Greater London, United Kingdom",20,4.65
304.0993438,Entire home/apt,4,2,london,weekend,76.02483596,FALSE,individual,97,10,4.0517767,0.64101927,28.21121729,16.7976185,-0.07277,51.52095,suburban,FALSE,"Entire rental unit in Greater London, United Kingdom",0,
87.37270397,Private room,2,1,london,weekday,43.68635198,FALSE,Professional,85,9,4.124297041,0.685740592,25.7785046,15.65413572,-0.0719,51.52136,suburban,FALSE,"Private room in condo in Greater London, United Kingdom",17,4.76
202.1449234,Entire home/apt,2,0,london,weekday,101.0724617,FALSE,Professional,90,10,0.794239575,0.38195064,50.9135799,44.77320688,-0.13557,51.51339,city_center,FALSE,"Entire rental unit in Greater London, United Kingdom",3,5
60.79634987,Private room,2,1,london,weekend,30.39817493,FALSE,individual,98,10,7.942835307,2.404875643,9.72660257,5.319539967,-0.11853,51.43716,outskirts,FALSE,"Private room in home in Greater London, United Kingdom",0,
181.3306992,Entire home/apt,4,0,london,weekday,45.3326748,FALSE,semi_professional,79,8,3.949724836,0.485780346,21.69340849,12.88744255,-0.18331,51.51524,suburban,FALSE,"Entire condo in Greater London, United Kingdom",43,4.77
161.1044474,Entire home/apt,2,1,london,weekend,80.55222371,FALSE,individual,100,10,6.888825929,0.606788473,12.00839795,7.238691417,-0.20974,51.47371,outskirts,FALSE,"Entire rental unit in Greater London, United Kingdom",33,4.91
233.1898681,Entire home/apt,3,0,london,weekday,77.72995602,FALSE,individual,76,8,3.059859006,1.07365689,24.30739478,11.83789643,-0.14869,51.48421,suburban,FALSE,"Entire condo in Greater London, United Kingdom",34,4.41
203.3208683,Private room,2,0,london,weekday,101.6604342,FALSE,Professional,80,8,4.275860189,0.988534352,21.0400154,13.39484772,-0.07247,51.52557,suburban,FALSE,"Room in London, United Kingdom",384,4.95
64.55937346,Private room,2,1,london,weekday,32.27968673,FALSE,Professional,82,8,6.48338521,0.461586821,13.51528785,8.272473375,-0.22044,51.50267,outskirts,FALSE,"Room in Greater London, United Kingdom",44,4.86
121.8278887,Entire home/apt,2,0,london,weekday,60.91394435,TRUE,Professional,96,10,3.840179513,0.492559562,22.44461141,16.48869551,-0.08,51.526,suburban,FALSE,"Room in Greater London, United Kingdom",23,5
98.89696371,Private room,2,1,london,weekend,49.44848186,FALSE,individual,100,10,4.053256511,1.131127131,19.12654306,11.11914515,-0.08932,51.53588,suburban,FALSE,"Room in Greater London, United Kingdom",85,5
265.99873,Entire home/apt,5,1,london,weekend,53.199746,FALSE,semi_professional,86,9,1.250687265,0.241665904,44.84910693,32.07006109,-0.13459,51.51866,near_center,FALSE,"Entire rental unit in Greater London, United Kingdom",3,5
39.98212564,Private room,2,1,london,weekday,19.99106282,FALSE,Professional,78,7,5.347719273,0.614260899,17.45952039,9.175913458,-0.05195,51.51765,outskirts,FALSE,"Room in Greater London, United Kingdom",30,4.2
75.37806628,Private room,2,1,london,weekend,37.68903314,TRUE,Professional,97,10,8.11645335,0.798265232,10.22040317,6.056096204,-0.24397,51.50208,outskirts,FALSE,"Private room in condo in Greater London, United Kingdom",3,5
674.0516005,Entire home/apt,6,2,london,weekend,112.3419334,FALSE,Professional,100,10,0.42125179,0.129777352,68.6146238,47.25362333,-0.12653,51.51206,city_center,TRUE,"Entire rental unit in Greater London, United Kingdom",36,4.78
59.97318846,Private room,2,1,london,weekend,29.98659423,TRUE,semi_professional,99,10,9.524015712,0.59678038,8.275852174,4.669790011,-0.21406,51.44195,outskirts,FALSE,"Private room in rental unit in Greater London, United Kingdom",0,5
395.7054493,Entire home/apt,4,2,london,weekend,98.92636233,FALSE,Professional,94,9,6.455373087,1.710016149,12.32736092,7.111013069,-0.18562,51.46305,outskirts,FALSE,"Entire rental unit in Greater London, United Kingdom",0,
74.08452692,Private room,2,1,london,weekend,37.04226346,FALSE,Professional,81,8,4.800537029,0.619272029,18.83104062,10.858782,-0.06381,51.52511,suburban,FALSE,"Private room in home in Greater London, United Kingdom",27,4.19
42.56920436,Private room,2,1,london,weekend,21.28460218,FALSE,individual,100,10,15.18386074,4.122743533,5.516279901,2.895797324,0.09092,51.50214,outskirts,FALSE,"Room in Greater London, United Kingdom",1,3
404.9954138,Entire home/apt,4,2,london,weekend,101.2488535,FALSE,individual,100,10,0.246005115,0.091265651,71.43675988,30.39183498,-0.12446,51.5072,city_center,FALSE,"Entire rental unit in Greater London, United Kingdom",2,5
200.3810061,Entire home/apt,5,1,london,weekend,40.07620123,FALSE,Professional,90,10,3.334646541,0.398399109,24.56643679,13.25120447,-0.16846,51.52399,suburban,FALSE,"Entire rental unit in Greater London, United Kingdom",24,4.88
105.3646605,Entire home/apt,2,1,london,weekday,52.68233025,FALSE,individual,100,10,6.07606722,1.5230066,13.66029308,7.751914792,-0.05722,51.54087,outskirts,FALSE,"Entire rental unit in Greater London, United Kingdom",40,4.95
131.4706367,Private room,2,0,london,weekday,65.73531833,TRUE,semi_professional,99,10,3.787434918,0.259714134,22.35703129,13.11263125,-0.18043,51.51659,suburban,FALSE,"Room in Greater London, United Kingdom",50,4.96
122.8862391,Private room,2,1,london,weekend,61.44311955,TRUE,semi_professional,99,10,6.401441177,1.217398566,14.38463965,7.670705078,-0.03535,51.50686,outskirts,FALSE,"Private room in rental unit in Greater London, United Kingdom",1,4.88
96.66266845,Private room,2,1,london,weekend,48.33133423,FALSE,Professional,95,10,6.971632977,0.717213463,12.17358594,7.309499805,-0.22159,51.48647,outskirts,FALSE,"Room in Greater London, United Kingdom",44,4.93
113.7138691,Private room,2,1,london,weekend,56.85693455,FALSE,Professional,84,8,8.652986657,0.701592898,8.973117108,5.197565061,-0.169,51.435,outskirts,FALSE,"Room in Greater London, United Kingdom",0,
228.8190885,Entire home/apt,4,1,paris,weekday,57.20477211,FALSE,Professional,60,10,5.491832329,0.593606933,9.900814343,23.97447056,2.29203,48.82768,outskirts,FALSE,"Entire condo in Vanves, France",7,5
237.4405816,Entire home/apt,2,1,paris,weekend,118.7202908,FALSE,individual,96,9,0.570703437,0.386401167,29.61039043,54.3796318,2.35983,48.85869,city_center,FALSE,"Entire rental unit in Paris, France",6,5
277.0528474,Entire home/apt,4,1,paris,weekend,69.26321186,FALSE,semi_professional,89,10,1.484698812,0.26969257,16.2338882,43.3918265,2.37259,48.85394,near_center,FALSE,"Entire rental unit in Paris, France",52,4.48
114.2930376,Entire home/apt,2,1,paris,weekday,57.14651878,FALSE,individual,100,10,3.638133925,0.737598832,10.96729913,28.92688465,2.34299,48.82448,suburban,FALSE,"Entire condo in Paris, France",83,4.93
118.0212508,Entire home/apt,2,1,paris,weekend,59.01062541,FALSE,semi_professional,87,7,3.149055068,0.06531486,27.05014451,40.33500922,2.30983,48.85727,suburban,FALSE,"Hotel in Paris, France",971,4.69
105.6715444,Private room,2,1,paris,weekend,52.83577221,FALSE,individual,94,10,3.302318645,0.234739713,21.61653297,41.65086956,2.31714,48.87475,suburban,FALSE,"Room in hotel in Paris, France",0,
199.8089291,Entire home/apt,4,1,paris,weekday,49.95223227,TRUE,individual,100,10,3.688678333,0.214225128,22.70171596,48.22367154,2.34093,48.88882,suburban,FALSE,"Entire rental unit in Paris, France",10,5
108.0016777,Private room,2,1,paris,weekend,54.00083885,TRUE,individual,97,10,5.016842116,0.564718152,11.12009577,21.76228578,2.29546,48.83193,outskirts,FALSE,"Room in Paris, France",308,4.93
154.8373567,Private room,2,1,paris,weekend,77.41867835,FALSE,semi_professional,92,9,2.374314619,0.236599079,13.28635393,28.74394872,2.36097,48.83591,near_center,FALSE,"Room in Paris, France",656,4.93
156.46845,Entire home/apt,2,1,paris,weekend,78.234225,FALSE,semi_professional,88,9,4.836984995,0.259780443,20.35112495,32.32448824,2.28999,48.86994,suburban,FALSE,"Entire rental unit in Paris, France",20,4.8
